文件,行号,组件,静态标签,处理函数及属性
client/src/AdminApp.tsx,307,input,,"{""autoComplete"": ""\""username\"""", ""value"": ""{loginUsername}"", ""onChange"": ""{(event) => setLoginUsername(event.target.value)}""}"
client/src/AdminApp.tsx,315,input,,"{""autoComplete"": ""\""current-password\"""", ""type"": ""\""password\"""", ""value"": ""{loginPassword}"", ""onChange"": ""{(event) => setLoginPassword(event.target.value)}""}"
client/src/AdminApp.tsx,322,button,登录后台,"{""type"": ""\""submit\""""}"
client/src/AdminApp.tsx,324,button,首次设置或找回密码,"{""type"": ""\""button\"""", ""onClick"": ""{() => {\n                setError(\""\"");\n                setNotice(\""\"");\n                setAuthPhase(\""recovery\"");\n              }}""}"
client/src/AdminApp.tsx,346,input,,"{""autoComplete"": ""\""off\"""", ""placeholder"": ""\""ASX1.…\"""", ""type"": ""\""password\"""", ""value"": ""{recoveryCredential}"", ""onChange"": ""{(event) =>\n                    setRecoveryCredential(event.target.value)\n                  }""}"
client/src/AdminApp.tsx,356,button,验证恢复凭据,"{""type"": ""\""submit\""""}"
client/src/AdminApp.tsx,358,button,返回账号密码登录,"{""type"": ""\""button\"""", ""onClick"": ""{() => setAuthPhase(\""anonymous\"")}""}"
client/src/AdminApp.tsx,373,input,,"{""autoComplete"": ""\""new-password\"""", ""type"": ""\""password\"""", ""value"": ""{newPassword}"", ""onChange"": ""{(event) => setNewPassword(event.target.value)}""}"
client/src/AdminApp.tsx,382,input,,"{""autoComplete"": ""\""new-password\"""", ""type"": ""\""password\"""", ""value"": ""{confirmPassword}"", ""onChange"": ""{(event) => setConfirmPassword(event.target.value)}""}"
client/src/AdminApp.tsx,389,button,保存新密码,"{""type"": ""\""submit\""""}"
client/src/AdminApp.tsx,411,button,菜单,"{""aria-controls"": ""\""admin-navigation\"""", ""aria-expanded"": ""{isNavigationOpen}"", ""aria-label"": ""{isNavigationOpen ? \""关闭导航\"" : \""展开导航\""}"", ""className"": ""\""admin-nav-toggle\"""", ""type"": ""\""button\"""", ""onClick"": ""{() => setIsNavigationOpen((current) => !current)}""}"
client/src/AdminApp.tsx,434,button,退出登录,"{""type"": ""\""button\"""", ""onClick"": ""{() => void signOut()}""}"
client/src/AdminApp.tsx,442,button,,"{""aria-label"": ""\""关闭导航遮罩\"""", ""className"": ""\""admin-sidebar-backdrop\"""", ""type"": ""\""button\"""", ""onClick"": ""{() => setIsNavigationOpen(false)}""}"
client/src/AdminApp.tsx,485,button,,"{""aria-current"": ""{activeTab === tab.id ? \""page\"" : undefined}"", ""aria-label"": ""{tab.label}"", ""className"": ""{\n                          activeTab === tab.id\n                            ? \""admin-tab is-active\""\n                            : \""admin-tab\""\n                        }"", ""key"": ""{tab.id}"", ""type"": ""\""button\"""", ""onClick"": ""{() => {\n                          setActiveTab(tab.id);\n                          setNavigationIntent(\""\"");\n                          // C3：切标签清掉上一页残留的全局提示。\n                          setError(\""\"");\n                          setNotice(\""\"");\n                          if (isCompactNavigation) {\n                            setIsNavigationOpen(false);\n                          }\n                        }}""}"
client/src/AdminApp.tsx,541,TabBar,,"{""ariaLabel"": ""\""运营概览快捷导航\"""", ""items"": ""{tabGroups[0].tabs}"", ""active"": ""{activeTab}"", ""onChange"": ""{(tab) => setActiveTab(tab as AdminTab)}""}"
client/src/AnalysisWorkspace.tsx,1257,button,返回,"{""className"": ""\""secondary-button\"""", ""disabled"": ""{isWorkspaceBusy}"", ""onClick"": ""{handleClose}"", ""type"": ""\""button\""""}"
client/src/AnalysisWorkspace.tsx,1265,button,开始生成,"{""disabled"": ""{\n              readOnly ||\n              isWorkspaceBusy ||\n              isFirstFrameBusy ||\n              generationDrafts.isLoading\n            }"", ""onClick"": ""{handleStartGeneration}"", ""type"": ""\""button\""""}"
client/src/AnalysisWorkspace.tsx,1324,button,前往处理,"{""onClick"": ""{() => handleGoFixMissing(item)}"", ""type"": ""\""button\""""}"
client/src/AnalysisWorkspace.tsx,1334,button,关闭,"{""className"": ""\""secondary-button\"""", ""onClick"": ""{() => setMissingModalOpen(false)}"", ""ref"": ""{missingModalCloseRef}"", ""type"": ""\""button\""""}"
client/src/AnalysisWorkspace.tsx,1349,button,重新加载,"{""className"": ""\""secondary-button analysis-retry-button\"""", ""onClick"": ""{reloadWorkspace}"", ""type"": ""\""button\""""}"
client/src/AnalysisWorkspace.tsx,1374,button,重新检查,"{""className"": ""\""secondary-button\"""", ""onClick"": ""{reloadWorkspace}"", ""type"": ""\""button\""""}"
client/src/AnalysisWorkspace.tsx,1383,button,,"{""disabled"": ""{\n                isStartingAnalysis ||\n                isAnalysisPending ||\n                !project.reference_asset_id\n              }"", ""onClick"": ""{handleStartAnalysis}"", ""type"": ""\""button\""""}"
client/src/AnalysisWorkspace.tsx,1501,input,,"{""aria-label"": ""{ariaLabel}"", ""className"": ""\""shot-table-input\"""", ""disabled"": ""{readOnly}"", ""min"": ""{type === \""number\"" ? 0 : undefined}"", ""onChange"": ""{(event) => onChange(event.target.value)}"", ""step"": ""{type === \""number\"" ? \""0.1\"" : undefined}"", ""type"": ""{type}"", ""value"": ""{value}""}"
client/src/AnalysisWorkspace.tsx,1530,select,,"{""aria-label"": ""{`${ariaPrefix} 人物运动`}"", ""className"": ""\""shot-table-select\"""", ""disabled"": ""{readOnly}"", ""onChange"": ""{(event) => {\n          const next = event.target.value as ShotMotion[\""subject_motion_state\""];\n          if (next) {\n            onChange({ subject_motion_state: next });\n          }\n        }}"", ""value"": ""\""\""""}"
client/src/AnalysisWorkspace.tsx,1553,select,,"{""aria-label"": ""{`${ariaPrefix} 人物运动`}"", ""className"": ""\""shot-table-select\"""", ""disabled"": ""{readOnly}"", ""onChange"": ""{(event) =>\n          onChange({\n            subject_motion_state: event.target\n              .value as ShotMotion[\""subject_motion_state\""],\n          })\n        }"", ""value"": ""{motion.subject_motion_state}""}"
client/src/AnalysisWorkspace.tsx,1571,select,,"{""aria-label"": ""{`${ariaPrefix} 位移方向`}"", ""className"": ""\""shot-table-select\"""", ""disabled"": ""{readOnly}"", ""onChange"": ""{(event) =>\n          onChange({\n            subject_direction: event.target\n              .value as ShotMotion[\""subject_direction\""],\n          })\n        }"", ""value"": ""{motion.subject_direction}""}"
client/src/AnalysisWorkspace.tsx,1589,select,,"{""aria-label"": ""{`${ariaPrefix} 运镜方式`}"", ""className"": ""\""shot-table-select\"""", ""disabled"": ""{readOnly}"", ""onChange"": ""{(event) =>\n          onChange({\n            camera_motion: event.target.value as ShotMotion[\""camera_motion\""],\n          })\n        }"", ""value"": ""{motion.camera_motion}""}"
client/src/App.tsx,118,input,,"{""autoComplete"": ""\""off\"""", ""onChange"": ""{(event) => setAccessToken(event.target.value)}"", ""placeholder"": ""\""本地桌面模式可留空\"""", ""type"": ""\""password\"""", ""value"": ""{accessToken}""}"
client/src/App.tsx,126,button,,"{""type"": ""\""button\"""", ""disabled"": ""{isLoginLoading}"", ""onClick"": ""{handleLogin}""}"
client/src/App.tsx,592,button,,"{""aria-current"": ""{activePage === item.page ? \""page\"" : undefined}"", ""className"": ""{\n              activePage === item.page\n                ? \""nav-button nav-button--active\""\n                : \""nav-button\""\n            }"", ""disabled"": ""{navigationDisabled}"", ""key"": ""{item.page}"", ""onClick"": ""{() => onNavigate(item.page)}"", ""type"": ""\""button\""""}"
client/src/App.tsx,611,button,,"{""aria-current"": ""{activePage === \""profile\"" ? \""page\"" : undefined}"", ""aria-label"": ""\""打开个人中心\"""", ""className"": ""{\n              isUserPage ? \""sidebar-user sidebar-user--active\"" : \""sidebar-user\""\n            }"", ""disabled"": ""{navigationDisabled}"", ""onClick"": ""{() => onNavigate(\""profile\"")}"", ""type"": ""\""button\""""}"
client/src/App.tsx,632,button,,"{""aria-controls"": ""\""sidebar-user-actions\"""", ""aria-expanded"": ""{isUserMenuOpen}"", ""aria-label"": ""\""用户菜单\"""", ""className"": ""{\n              isUserPage ? \""sidebar-user sidebar-user--active\"" : \""sidebar-user\""\n            }"", ""disabled"": ""{navigationDisabled}"", ""onClick"": ""{() => setIsUserMenuOpen((isOpen) => !isOpen)}"", ""type"": ""\""button\""""}"
client/src/App.tsx,665,button,,"{""aria-current"": ""{activePage === item.page ? \""page\"" : undefined}"", ""className"": ""{\n                    activePage === item.page\n                      ? \""sidebar-user__menu-item sidebar-user__menu-item--active\""\n                      : \""sidebar-user__menu-item\""\n                  }"", ""disabled"": ""{navigationDisabled}"", ""key"": ""{item.page}"", ""onClick"": ""{() => navigateFromUserMenu(item.page)}"", ""type"": ""\""button\""""}"
client/src/CharacterLibrary.tsx,525,button,重新读取人物库,"{""className"": ""\""secondary-button\"""", ""disabled"": ""{isLoading}"", ""onClick"": ""{() => void loadLibrary()}"", ""type"": ""\""button\""""}"
client/src/CharacterLibrary.tsx,558,button,,"{""aria-label"": ""{`查看人物 ${entry.display_name} 大图`}"", ""className"": ""\""character-preview-card__cover\"""", ""disabled"": ""{coverStatus === \""loading\""}"", ""onClick"": ""{() => {\n                    if (cover && coverStatus === \""error\"") {\n                      void loadPreviewUrls([cover.assetId], true);\n                      return;\n                    }\n                    setLightboxId(entry.identity_id);\n                  }}"", ""type"": ""\""button\""""}"
client/src/CharacterLibrary.tsx,592,input,,"{""aria-label"": ""\""修改人物名称\"""", ""onChange"": ""{(event) => setEditingName(event.target.value)}"", ""type"": ""\""text\"""", ""value"": ""{editingName}""}"
client/src/CharacterLibrary.tsx,598,button,,"{""disabled"": ""{isRenaming}"", ""onClick"": ""{() => void saveRename(entry)}"", ""type"": ""\""button\""""}"
