path	line	markers
.github/workflows/ci.yml	170	internal
.github/workflows/ci.yml	172	internal
.github/workflows/ci.yml	175	internal
.github/workflows/ci.yml	185	internal
.github/workflows/ci.yml	187	internal
.github/workflows/ci.yml	196	internal
.github/workflows/ci.yml	197	internal
.github/workflows/ci.yml	198	internal
.github/workflows/ci.yml	200	internal
README.md	13	内部,单机
README.md	15	SQLite
README.md	17	内部
README.md	18	内部
README.md	27	内部
README.md	53	SQLite
README.md	61	DEV_USER
README.md	65	DEV_USER
README.md	66	SQLite
README.md	109	内部
README.md	112	内部
README.md	129	SQLite
README.md	150	内部,单机
README.md	156	内部
README.md	160	内部
README.md	161	内部
client/src-tauri/Cargo.toml	4	Internal
client/src-tauri/Cargo.toml	5	Internal
client/src-tauri/Cargo.toml	13	local-sidecar
client/src-tauri/Cargo.toml	14	internal
client/src-tauri/Cargo.toml	18	local-sidecar
client/src-tauri/resources/start-backend.bat	10	DESKTOP_USER
client/src-tauri/resources/start-backend.bat	11	DESKTOP_USER
client/src-tauri/resources/start-backend.sh	10	DESKTOP_USER
client/src-tauri/src/lib.rs	4	local-sidecar
client/src-tauri/src/lib.rs	6	local-sidecar
client/src-tauri/src/lib.rs	8	local-sidecar
client/src-tauri/src/lib.rs	10	local-sidecar
client/src-tauri/src/lib.rs	12	local-sidecar
client/src-tauri/src/lib.rs	15	internal,local-sidecar
client/src-tauri/src/lib.rs	16	internal
client/src-tauri/src/lib.rs	20	local-sidecar
client/src-tauri/src/lib.rs	22	local-sidecar
client/src-tauri/src/lib.rs	26	local-sidecar
client/src-tauri/src/lib.rs	30	local-sidecar
client/src-tauri/src/lib.rs	40	local-sidecar
client/src-tauri/src/lib.rs	61	local-sidecar
client/src-tauri/src/lib.rs	83	local-sidecar
client/src-tauri/src/lib.rs	118	Internal
client/src-tauri/src/lib.rs	119	local-sidecar
client/src-tauri/src/lib.rs	130	local-sidecar
client/src-tauri/tauri.conf.json	5	internal
client/src/AdminApp.test.tsx	139	internal
client/src/AdminApp.test.tsx	155	internal
client/src/AdminApp.test.tsx	156	internal
client/src/AdminApp.test.tsx	442	内部
client/src/AdminApp.test.tsx	445	内部
client/src/AnalysisWorkspace.test.tsx	2225	INTERNAL
client/src/AnalysisWorkspace.test.tsx	2480	INTERNAL
client/src/AnalysisWorkspace.tsx	1065	内部
client/src/App.test.tsx	12	Internal
client/src/App.test.tsx	153	Internal
client/src/App.test.tsx	159	Internal
client/src/App.test.tsx	308	internal
client/src/App.test.tsx	421	internal
client/src/App.test.tsx	427	internal
client/src/App.test.tsx	446	内部
client/src/App.test.tsx	447	internal
client/src/App.test.tsx	459	internal
client/src/App.tsx	13	Internal
client/src/App.tsx	42	internal
client/src/App.tsx	43	internal
client/src/App.tsx	46	internal
client/src/App.tsx	59	Internal
client/src/App.tsx	84	Internal
client/src/App.tsx	117	内部
client/src/App.tsx	139	internal
client/src/App.tsx	142	internal
client/src/App.tsx	163	internal
client/src/App.tsx	207	internal
client/src/App.tsx	799	内部
client/src/AppGenerationFlow.test.tsx	91	内部
client/src/RootApp.test.tsx	34	internal
client/src/RootApp.test.tsx	63	INTERNAL
client/src/RootApp.test.tsx	68	internal
client/src/RootApp.test.tsx	112	INTERNAL
client/src/RootApp.test.tsx	130	内部
client/src/RootApp.test.tsx	240	internal
client/src/RootApp.test.tsx	248	internal
client/src/RootApp.test.tsx	250	内部
client/src/RootApp.test.tsx	279	内部
client/src/RootApp.tsx	50	internal
client/src/TaskRecordsPanel.test.tsx	926	internal
client/src/TaskRecordsPanel.tsx	84	内部
client/src/WalletPanel.test.tsx	15	internal
client/src/WalletPanel.test.tsx	40	internal
client/src/WalletPanel.tsx	180	内部
client/src/WalletPanel.tsx	181	internal
client/src/WalletPanel.tsx	182	内部
client/src/WalletPanel.tsx	212	internal
client/src/WalletPanel.tsx	252	internal
client/src/WalletPanel.tsx	284	internal
client/src/admin/ActivationCodesPage.tsx	344	internal
client/src/admin/PaymentSettingsSection.tsx	96	internal
client/src/admin/PaymentSettingsSection.tsx	101	内部
client/src/admin/PaymentSettingsSection.tsx	106	内部
client/src/admin/PaymentSettingsSection.tsx	176	内部
client/src/admin/PaymentSettingsSection.tsx	178	内部
client/src/admin/PaymentSettingsSection.tsx	179	internal
client/src/admin/PaymentSettingsSection.tsx	183	内部
client/src/admin/PaymentSettingsSection.tsx	188	internal
client/src/admin/PaymentSettingsSection.tsx	190	internal
client/src/admin/PaymentSettingsSection.tsx	219	内部
client/src/admin/ui/DataTable.tsx	14	internal
client/src/api.admin.test.ts	233	internal
client/src/api.admin.test.ts	241	internal
client/src/api.admin.test.ts	256	internal
client/src/api.admin.ts	871	internal
client/src/api.test.ts	69	Internal
client/src/api.test.ts	694	Internal
client/src/api.test.ts	2119	DEV_USER
client/src/api.test.ts	2156	DEV_USER
client/src/api.test.ts	2157	DEV_USER
client/src/api.test.ts	2274	internal
client/src/api.test.ts	2301	internal,Internal
client/src/api.test.ts	2318	Internal
client/src/api.test.ts	2322	internal
client/src/api.ts	12	internal
client/src/api.ts	70	internal
client/src/api.ts	75	internal
client/src/api.ts	77	internal
client/src/api.ts	138	internal
client/src/api.ts	282	SQLite
client/src/api.ts	1192	Internal
client/src/api.ts	1194	internal
client/src/api.ts	1226	internal
client/src/api.ts	1300	内部
client/src/api.ts	1395	internal
client/src/api.ts	1401	内部
client/src/api.ts	2414	internal
client/src/api.ts	4362	DEV_USER
client/src/api.ts	4565	internal
client/src/api.ts	5143	internal
client/src/api.ts	5144	internal
client/src/customer/ActivationPage.test.tsx	27	internal
client/src/customer/ActivationPage.test.tsx	40	internal
